"","Month","Day","Ozone","OzoneDelta","Solar.R","SolarDelta","Wind","WindDelta","Temp","TempDelta"
"1",5,1,41,-1.1,190,5.2,7.4,-2.5,67,-10.8
"2",5,2,36,-6.1,118,-66.8,8,-1.9,72,-5.8
"3",5,3,12,-30.1,149,-35.8,12.6,2.7,74,-3.8
"4",5,4,18,-24.1,313,128.2,11.5,1.6,62,-15.8
"7",5,7,23,-19.1,299,114.2,8.6,-1.3,65,-12.8
"8",5,8,19,-23.1,99,-85.8,13.8,3.9,59,-18.8
"9",5,9,8,-34.1,19,-165.8,20.1,10.2,61,-16.8
"12",5,12,16,-26.1,256,71.2,9.7,-0.2,69,-8.8
"13",5,13,11,-31.1,290,105.2,9.2,-0.7,66,-11.8
"14",5,14,14,-28.1,274,89.2,10.9,1,68,-9.8
"15",5,15,18,-24.1,65,-119.8,13.2,3.3,58,-19.8
"16",5,16,14,-28.1,334,149.2,11.5,1.6,64,-13.8
"17",5,17,34,-8.1,307,122.2,12,2.1,66,-11.8
"18",5,18,6,-36.1,78,-106.8,18.4,8.5,57,-20.8
"19",5,19,30,-12.1,322,137.2,11.5,1.6,68,-9.8
"20",5,20,11,-31.1,44,-140.8,9.7,-0.2,62,-15.8
"21",5,21,1,-41.1,8,-176.8,9.7,-0.2,59,-18.8
"22",5,22,11,-31.1,320,135.2,16.6,6.7,73,-4.8
"23",5,23,4,-38.1,25,-159.8,9.7,-0.2,61,-16.8
"24",5,24,32,-10.1,92,-92.8,12,2.1,61,-16.8
"28",5,28,23,-19.1,13,-171.8,12,2.1,67,-10.8
"29",5,29,45,2.9,252,67.2,14.9,5,81,3.2
"30",5,30,115,72.9,223,38.2,5.7,-4.2,79,1.2
"31",5,31,37,-5.1,279,94.2,7.4,-2.5,76,-1.8
"38",6,7,29,-13.1,127,-57.8,9.7,-0.2,82,4.2
"40",6,9,71,28.9,291,106.2,13.8,3.9,90,12.2
"41",6,10,39,-3.1,323,138.2,11.5,1.6,87,9.2
"44",6,13,23,-19.1,148,-36.8,8,-1.9,82,4.2
"47",6,16,21,-21.1,191,6.2,14.9,5,77,-0.8
"48",6,17,37,-5.1,284,99.2,20.7,10.8,72,-5.8
"49",6,18,20,-22.1,37,-147.8,9.2,-0.7,65,-12.8
"50",6,19,12,-30.1,120,-64.8,11.5,1.6,73,-4.8
"51",6,20,13,-29.1,137,-47.8,10.3,0.4,76,-1.8
"62",7,1,135,92.9,269,84.2,4.1,-5.8,84,6.2
"63",7,2,49,6.9,248,63.2,9.2,-0.7,85,7.2
"64",7,3,32,-10.1,236,51.2,9.2,-0.7,81,3.2
"66",7,5,64,21.9,175,-9.8,4.6,-5.3,83,5.2
"67",7,6,40,-2.1,314,129.2,10.9,1,83,5.2
"68",7,7,77,34.9,276,91.2,5.1,-4.8,88,10.2
"69",7,8,97,54.9,267,82.2,6.3,-3.6,92,14.2
"70",7,9,97,54.9,272,87.2,5.7,-4.2,92,14.2
"71",7,10,85,42.9,175,-9.8,7.4,-2.5,89,11.2
"73",7,12,10,-32.1,264,79.2,14.3,4.4,73,-4.8
"74",7,13,27,-15.1,175,-9.8,14.9,5,81,3.2
"76",7,15,7,-35.1,48,-136.8,14.3,4.4,80,2.2
"77",7,16,48,5.9,260,75.2,6.9,-3,81,3.2
"78",7,17,35,-7.1,274,89.2,10.3,0.4,82,4.2
"79",7,18,61,18.9,285,100.2,6.3,-3.6,84,6.2
"80",7,19,79,36.9,187,2.2,5.1,-4.8,87,9.2
"81",7,20,63,20.9,220,35.2,11.5,1.6,85,7.2
"82",7,21,16,-26.1,7,-177.8,6.9,-3,74,-3.8
"85",7,24,80,37.9,294,109.2,8.6,-1.3,86,8.2
"86",7,25,108,65.9,223,38.2,8,-1.9,85,7.2
"87",7,26,20,-22.1,81,-103.8,8.6,-1.3,82,4.2
"88",7,27,52,9.9,82,-102.8,12,2.1,86,8.2
