"Order","Family","Genus","Species","BodyMass","HomeRange_km2","Diet"
"Rodentia","Muridae","Abditomys","latidens",268,-999,-999
"Rodentia","Muridae","Abrawayaomys","ruschii",63,-999,-999
"Rodentia","Abrocomidae","Abrocoma","bennettii",251,-999,-999
"Rodentia","Abrocomidae","Abrocoma","boliviensis",158,-999,-999
"Rodentia","Abrocomidae","Abrocoma","cinerea",194,-999,-999
"Chiroptera","Pteropodidae","Acerodon","celebensis",382,-999,-999
"Chiroptera","Pteropodidae","Acerodon","humilis",-999,-999,-999
"Chiroptera","Pteropodidae","Acerodon","jubatus",1090,-999,1
"Chiroptera","Pteropodidae","Acerodon","leucotis",-999,-999,-999
"Chiroptera","Pteropodidae","Acerodon","lucifer",-999,-999,-999
"Chiroptera","Pteropodidae","Acerodon","mackloti",464,-999,1
"Carnivora","Felidae","Acinonyx","jubatus",50500,89.2,3
"Rodentia","Muridae","Acomys","cahirinus",41.2,0.000886,-999
"Rodentia","Muridae","Acomys","cilicicus",-999,-999,-999
"Rodentia","Muridae","Acomys","cinerasceus",-999,-999,-999
"Rodentia","Muridae","Acomys","ignitus",-999,-999,-999
"Rodentia","Muridae","Acomys","kempi",22,-999,-999
"Rodentia","Muridae","Acomys","louisae",20.2,-999,-999
"Rodentia","Muridae","Acomys","minous",62.5,-999,-999
"Rodentia","Muridae","Acomys","mullah",-999,-999,-999
"Rodentia","Muridae","Acomys","nesiotes",-999,-999,-999
"Rodentia","Muridae","Acomys","percivali",22,-999,-999
"Rodentia","Muridae","Acomys","russatus",42.4,0.000493,-999
"Rodentia","Muridae","Acomys","spinosissimus",26.5,-999,-999
"Rodentia","Muridae","Acomys","subspinosus",21.9,-999,-999
"Rodentia","Muridae","Acomys","wilsoni",18.5,-999,-999
"Rodentia","Octodontidae","Aconaemys","fuscus",130,-999,1
"Rodentia","Octodontidae","Aconaemys","sagei",96.5,-999,-999
"Diprotodontia","Acrobatidae","Acrobates","pygmaeus",13.9,0.006,2
"Artiodactyla","Bovidae","Addax","nasomaculatus",94700,-999,1
"Rodentia","Muridae","Aepeomys","fuscatus",49.5,-999,-999
"Rodentia","Muridae","Aepeomys","lugens",37,-999,-999
"Artiodactyla","Bovidae","Aepyceros","melampus",52300,1.99,1
"Diprotodontia","Potoroidae","Aepyprymnus","rufescens",2800,-999,-999
"Rodentia","Sciuridae","Aeretes","melanopterus",-999,-999,-999
"Rodentia","Sciuridae","Aeromys","tephromelas",1190,-999,-999
"Rodentia","Sciuridae","Aeromys","thomasi",1430,-999,-999
"Chiroptera","Pteropodidae","Aethalops","alecto",15,-999,-999
"Rodentia","Muridae","Aethomys","bocagei",-999,-999,-999
"Rodentia","Muridae","Aethomys","chrysophilus",82.3,-999,-999
"Rodentia","Muridae","Aethomys","granti",40,-999,-999
