"","taxonid","kingdom_name","phylum_name","class_name","order_name","family_name","genus_name","scientific_name","category"
"267",865,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE","Allenopithecus","Allenopithecus nigroviridis","LC"
"269",868,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CHEIROGALEIDAE","Allocebus","Allocebus trichotis","VU"
"303",914,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","ATELIDAE","Alouatta","Alouatta pigra","EN"
"304",918,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","ATELIDAE","Alouatta","Alouatta ululata","EN"
"305",919,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","ATELIDAE","Alouatta","Alouatta palliata ssp. aequatorialis","VU"
"306",922,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","ATELIDAE","Alouatta","Alouatta juara","LC"
"307",925,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","ATELIDAE","Alouatta","Alouatta palliata ssp. mexicana","CR"
"461",1802,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","AOTIDAE","Aotus","Aotus miconax","EN"
"462",1807,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","AOTIDAE","Aotus","Aotus griseimembra","VU"
"463",1808,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","AOTIDAE","Aotus","Aotus lemurinus","VU"
"514",2053,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","LORISIDAE","Arctocebus","Arctocebus aureus","LC"
"515",2054,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","LORISIDAE","Arctocebus","Arctocebus calabarensis","NT"
"607",2276,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","ATELIDAE","Ateles","Ateles belzebuth","EN"
"608",2279,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","ATELIDAE","Ateles","Ateles geoffroyi","EN"
"609",2280,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","ATELIDAE","Ateles","Ateles geoffroyi ssp. frontatus","VU"
"610",2282,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","ATELIDAE","Ateles","Ateles marginatus","EN"
"611",2283,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","ATELIDAE","Ateles","Ateles paniscus","VU"
"612",2286,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","ATELIDAE","Ateles","Ateles geoffroyi ssp. azuerensis","CR"
"613",2287,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","ATELIDAE","Ateles","Ateles geoffroyi ssp. grisescens","DD"
"614",2289,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","ATELIDAE","Ateles","Ateles geoffroyi ssp. ornatus","EN"
"615",2290,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","ATELIDAE","Ateles","Ateles geoffroyi ssp. yucatanensis","EN"
"659",2434,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","INDRIIDAE","Avahi","Avahi laniger","VU"
"660",2435,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","INDRIIDAE","Avahi","Avahi occidentalis","EN"
"915",2993,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","ATELIDAE","Brachyteles","Brachyteles arachnoides","CR"
"916",2994,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","ATELIDAE","Brachyteles","Brachyteles hypoxanthus","CR"
"1043",3416,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","PITHECIIDAE","Cacajao","Cacajao calvus","VU"
"1044",3419,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","PITHECIIDAE","Cacajao","Cacajao calvus ssp. calvus","VU"
"1045",3420,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","PITHECIIDAE","Cacajao","Cacajao calvus ssp. ucayalii","VU"
"1046",3421,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","PITHECIIDAE","Cacajao","Cacajao calvus ssp. novaesi","VU"
"1047",3422,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","PITHECIIDAE","Cacajao","Cacajao calvus ssp. rubicundus","VU"
"1068",3549,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","PITHECIIDAE","Plecturocebus","Plecturocebus dubius","LC"
"1069",3553,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","PITHECIIDAE","Plecturocebus","Plecturocebus oenanthe","CR"
"1070",3554,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","PITHECIIDAE","Plecturocebus","Plecturocebus olallae","EN"
"1071",3555,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","PITHECIIDAE","Callicebus","Callicebus personatus","VU"
"1072",3564,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CALLITRICHIDAE","Callimico","Callimico goeldii","VU"
"1074",3570,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CALLITRICHIDAE","Callithrix","Callithrix aurita","EN"
"1075",3571,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CALLITRICHIDAE","Callithrix","Callithrix flaviceps","EN"
"1076",3572,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CALLITRICHIDAE","Callithrix","Callithrix geoffroyi","LC"
"1077",3575,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CALLITRICHIDAE","Callithrix","Callithrix kuhlii","VU"
"1275",4074,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CEBIDAE","Sapajus","Sapajus xanthosternos","CR"
"1276",4075,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CEBIDAE","Cebus","Cebus cuscinus","NT"
"1277",4079,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CEBIDAE","Sapajus","Sapajus apella ssp. margaritae","CR"
"1278",4081,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CEBIDAE","Cebus","Cebus aequatorialis","CR"
"1279",4082,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CEBIDAE","Cebus","Cebus cesarae","DD"
"1280",4084,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CEBIDAE","Cebus","Cebus malitiosus","EN"
"1281",4085,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CEBIDAE","Cebus","Cebus trinitatis","CR"
"1282",4087,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CEBIDAE","Cebus","Cebus capucinus ssp. curtus","VU"
"1325",4200,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE","Cercocebus","Cercocebus galeritus","EN"
"1326",4201,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE","Cercocebus","Cercocebus torquatus","EN"
"1327",4203,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE","Cercocebus","Cercocebus sanjei","EN"
"1328",4206,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE","Cercocebus","Cercocebus lunulatus","EN"
"1329",4207,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE","Cercocebus","Cercocebus chrysogaster","DD"
"1330",4212,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE","Cercopithecus","Cercopithecus ascanius","LC"
"1331",4214,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE","Cercopithecus","Cercopithecus cephus","LC"
"1332",4216,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE","Cercopithecus","Cercopithecus dryas","EN"
"1333",4217,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE","Cercopithecus","Cercopithecus erythrogaster","VU"
"1334",4218,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE","Cercopithecus","Cercopithecus erythrotis","VU"
"1335",4219,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE","Cercopithecus","Cercopithecus hamlyni","VU"
"1336",4220,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE","Allochrocebus","Allochrocebus lhoesti","VU"
"1337",4221,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE","Cercopithecus","Cercopithecus mitis","LC"
"1338",4222,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE","Cercopithecus","Cercopithecus mona","LC"
"1339",4223,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE","Cercopithecus","Cercopithecus neglectus","LC"
"1340",4224,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE","Cercopithecus","Cercopithecus nictitans","NT"
"1341",4225,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE","Cercopithecus","Cercopithecus petaurista","LC"
